matrix_size,mode,threads,sample_count,sample_number,sample_time_seconds
1000,Serial,1,7,1,2.173346
1000,Serial,1,7,2,2.366668
1000,Serial,1,7,3,1.991971
1000,Serial,1,7,4,1.996021
1000,Serial,1,7,5,1.990204
1000,Serial,1,7,6,2.002979
1000,Serial,1,7,7,2.027419
1000,Parallel,2,7,1,1.491572
1000,Parallel,2,7,2,1.336192
1000,Parallel,2,7,3,1.414528
1000,Parallel,2,7,4,1.460971
1000,Parallel,2,7,5,1.336623
1000,Parallel,2,7,6,1.431986
1000,Parallel,2,7,7,1.224812
1000,Parallel,3,7,1,1.556752
1000,Parallel,3,7,2,1.495082
1000,Parallel,3,7,3,1.543164
1000,Parallel,3,7,4,1.501938
1000,Parallel,3,7,5,1.510359
1000,Parallel,3,7,6,1.583109
1000,Parallel,3,7,7,1.573188
1000,Parallel,4,7,1,1.460912
1000,Parallel,4,7,2,1.769666
1000,Parallel,4,7,3,1.559171
1000,Parallel,4,7,4,1.827945
1000,Parallel,4,7,5,1.580109
1000,Parallel,4,7,6,1.513107
1000,Parallel,4,7,7,1.445162
1000,Parallel,5,7,1,1.522597
1000,Parallel,5,7,2,1.543871
1000,Parallel,5,7,3,1.555734
1000,Parallel,5,7,4,1.526581
1000,Parallel,5,7,5,1.574705
1000,Parallel,5,7,6,1.564631
1000,Parallel,5,7,7,1.529199
1000,Parallel,6,7,1,1.524492
1000,Parallel,6,7,2,1.480048
1000,Parallel,6,7,3,1.502748
1000,Parallel,6,7,4,1.746997
1000,Parallel,6,7,5,1.555493
1000,Parallel,6,7,6,1.502554
1000,Parallel,6,7,7,1.453662
1000,Parallel,7,7,1,1.543132
1000,Parallel,7,7,2,1.529111
1000,Parallel,7,7,3,1.603080
1000,Parallel,7,7,4,1.510452
1000,Parallel,7,7,5,1.578809
1000,Parallel,7,7,6,1.503723
1000,Parallel,7,7,7,1.514030
